Height.in.cm;Gender;Shoe.size
168;F;39
174;M;42
180;M;42
184;F;39
167;F;38
175;F;40
168;F;37
170;F;38
183;M;43
192;M;48
166;F;38
172;M;42
162;F;37
172;F;39
174;F;39
168;F;38
187;M;47
168;F;38
163;F;38
170;F;39
180;M;45
187;M;43
183;M;44
165;F;39
173;F;38
191;M;46
178;M;42
165;F;38
171;F;38
187;M;46
170;F;38
176;M;42
163;F;36
165;F;38
183;M;44
187;M;43
155;F;38
179;M;42
180;F;40
165;F;38
165;F;37
165;F;37
168;F;37
180;M;43
175;M;45
174;M;42
175;F;41
184;F;43
170;F;38
202;M;47
169;F;39
186;M;45
192;M;45
184;M;47
175;M;39
182;M;44
160;F;38
168;F;39
173;M;42
184;M;44
182;M;46
170;M;42
182;M;44
171;F;38
169;F;39
172;M;41
180;M;42
162;F;38
182;M;42
175;M;42
171;M;39
184;M;43
184;M;45
180;M;44
186;M;43
160;F;37
163;F;36
158;F;37
170;F;40
167;F;38
169;F;37
166;F;39
173;F;39
168;F;37
